game_id,play_id,pass_result,target_nfl_id,route,pen_idx,pen,pen_team,pen_jersey_number,pen_nfl_id,pen_display_name,pen_position,target_display_name,target_jersey_number,target_team,target_position
2018092700,1268,C,2495331,CROSS,1,DPI,LA,37,1037374,Sam Shields,CB,Aldrick Robinson,17,MIN,WR
2018100705,1968,C,2561018,GO,1,DPI,KC,20,2552265,Steven Nelson,CB,D.J. Chark,17,JAX,WR
2018101412,3359,C,2530515,GO,1,DPI,KC,23,2555349,Kendall Fuller,CB,Chris Hogan,15,NE,WR
2018102800,2806,C,2543500,POST,1,DPI,JAX,41,2561340,Tre Herndon,CB,Jordan Matthews,80,PHI,WR
2018102807,2870,C,2560988,CROSS,1,DPI,PIT,24,2532946,Coty Sensabaugh,CB,Antonio Callaway,11,CLE,WR
2018102806,785,C,2543496,GO,1,DPI,WAS,37,2560886,Greg Stroman,DB,NA,NA,NA,NA
2018102806,946,C,2555343,POST,1,DH,NYG,20,2532875,Janoris Jenkins,CB,Josh Doctson,18,WAS,WR
2018102806,946,C,2555343,POST,2,DPI,NYG,20,2532875,Janoris Jenkins,CB,Josh Doctson,18,WAS,WR
2018102803,4385,C,2543468,GO,1,DPI,CIN,22,2556367,William Jackson,CB,Mike Evans,13,TB,WR
2018102811,192,C,2556370,POST,1,DPI,MIN,22,2532948,Harrison Smith,FS,Michael Thomas,13,NO,WR
2018110405,2672,C,2495438,POST,1,DPI,DET,31,2557955,Teez Tabor,CB,Kyle Rudolph,82,MIN,TE
2018111108,679,C,2557848,GO,1,DPI,NE,24,2533062,Stephon Gilmore,CB,Corey Davis,84,TEN,WR
2018111808,2803,C,2540154,OUT,1,DPI,DEN,25,2530510,Chris Harris,CB,Keenan Allen,13,LAC,WR
2018111810,3041,C,2508061,POST,1,DPI,JAX,42,494259,Barry Church,SS,Antonio Brown,84,PIT,WR
2018112507,3201,C,2543468,HITCH,1,DPI,SF,23,2558157,Ahkello Witherspoon,CB,Mike Evans,13,TB,WR
2018112600,1480,C,2540165,OUT,1,DPI,TEN,21,2550613,Malcolm Butler,CB,DeAndre Hopkins,10,HOU,WR
2018112900,169,C,2560735,OUT,1,DPI,NO,25,2555277,Eli Apple,CB,Michael Gallup,13,DAL,WR
2018120907,192,C,2550656,GO,1,DPI,NO,24,2555530,Vonn Bell,FS,Cameron Brate,84,TB,TE
2018120912,3191,C,2552487,IN,1,DPI,PHI,22,2557958,Sidney Jones,CB,Amari Cooper,19,DAL,WR
2018121602,762,C,2558052,GO,1,DPI,BUF,27,2557867,Tre'Davious White,CB,Kenny Golladay,19,DET,WR
2018123005,1799,C,2552608,HITCH,1,DPI,CHI,20,2495108,Prince Amukamara,CB,Stefon Diggs,14,MIN,WR
2018123013,3634,C,2540154,CROSS,1,DPI,DEN,29,2543505,Bradley Roby,CB,Keenan Allen,13,LAC,WR
2018123014,3870,C,2558914,OUT,1,DPI,LA,23,2540197,Nickell Robey-Coleman,CB,Kendrick Bourne,84,SF,WR
2018090600,1226,I,2507763,NA,1,DPI,ATL,21,2539334,Desmond Trufant,CB,Mike Wallace,14,PHI,WR
2018090901,3234,I,2537931,NA,1,DPI,PIT,25,2555344,Artie Burns,CB,Josh Gordon,12,CLE,WR
2018090902,1697,I,2495450,NA,1,DPI,IND,31,2557961,Quincy Wilson,CB,A.J. Green,18,CIN,WR
2018090902,3233,I,2540148,NA,1,DPI,IND,26,2552386,Clayton Geathers,FS,Tyler Eifert,85,CIN,TE
2018090900,742,I,2550256,NA,1,DPI,BUF,24,2560766,Taron Johnson,CB,Willie Snead,83,BAL,WR
2018090900,3342,I,2543471,NA,1,DPI,BAL,24,4365,Brandon Carr,CB,Kelvin Benjamin,13,BUF,WR
2018090905,930,I,497240,NA,1,DPI,HOU,24,2495872,Johnathan Joseph,CB,Rob Gronkowski,87,NE,TE
2018090907,1662,I,2543496,NA,1,DPI,JAX,42,494259,Barry Church,SS,NA,NA,NA,NA
2018090907,1752,I,2543496,NA,1,DPI,JAX,20,2555280,Jalen Ramsey,CB,NA,NA,NA,NA
2018090906,3433,I,1581,NA,1,DPI,NO,20,2556735,Ken Crawley,CB,DeSean Jackson,11,TB,WR
2018090906,3667,I,2558019,NA,1,DPI,TB,58,2552592,Kwon Alexander,MLB,Alvin Kamara,41,NO,RB
2018090910,3007,I,2560735,NA,1,DPI,CAR,26,NA,NA,NA,Michael Gallup,13,DAL,WR
2018091000,372,I,2532884,NA,1,DPI,NYJ,22,2532877,Trumaine Johnson,CB,Marvin Jones,11,DET,WR
2018091000,2303,I,2543828,NA,1,DPI,DET,24,2543872,Nevin Lawson,CB,Quincy Enunwa,81,NYJ,WR
2018091001,1181,I,2543498,NA,1,DPI,OAK,22,2541200,Rashaan Melvin,CB,Brandin Cooks,12,LA,WR
2018091001,1555,I,2543498,NA,1,DPI,OAK,45,306,Dominique Rodgers-Cromartie,CB,Brandin Cooks,12,LA,WR
2018091300,470,I,2540148,NA,1,DPI,BAL,23,2540164,Tony Jefferson,SS,Tyler Eifert,85,CIN,TE
2018091300,1677,I,2560957,NA,1,DPI,CIN,21,2543474,Darqueze Dennard,CB,Mark Andrews,89,BAL,TE
2018091300,2617,I,2543847,NA,1,DPI,CIN,27,2533060,Dre Kirkpatrick,CB,John Brown,13,BAL,WR
2018091603,600,I,2558928,NA,1,DPI,CLE,38,2550164,T.J. Carrie,CB,Austin Carr,80,NO,WR
2018091603,2147,I,2560988,NA,1,DPI,NO,23,2558061,Marshon Lattimore,CB,Antonio Callaway,11,CLE,WR
2018091603,2370,I,2552461,NA,1,DPI,NO,21,2508084,Patrick Robinson,CB,Duke Johnson,29,CLE,RB
2018091600,1229,I,2560854,NA,1,DPI,CAR,26,NA,NA,NA,Calvin Ridley,18,ATL,WR
2018091600,2896,I,2495459,NA,1,DPI,ATL,23,2539653,Robert Alford,CB,Torrey Smith,11,CAR,WR
2018091605,2127,I,2557978,NA,1,DPI,KC,48,2556775,Terrance Smith,ILB,James Conner,30,PIT,RB
2018091608,1254,I,2532865,NA,1,DPI,WAS,31,2558136,Fabian Moreau,CB,T.Y. Hilton,13,IND,WR
2018091607,470,I,2540165,NA,1,DPI,TEN,25,2558065,Adoree' Jackson,CB,DeAndre Hopkins,10,HOU,WR
2018091606,1253,I,2540158,NA,1,DH,TB,29,2555552,Ryan Smith,CB,Zach Ertz,86,PHI,TE
2018091606,1253,I,2540158,NA,2,DPI,TB,23,2495272,Chris Conte,SS,Zach Ertz,86,PHI,TE
2018091606,3548,I,2540158,NA,1,DPI,TB,33,2561039,Carlton Davis,CB,Zach Ertz,86,PHI,TE
2018091610,1017,I,2558266,NA,1,DPI,DET,23,2540288,Darius Slay,CB,George Kittle,85,SF,TE
2018091610,4045,I,2532884,NA,1,DPI,SF,23,2558157,Ahkello Witherspoon,CB,Marvin Jones,11,DET,WR
2018091611,3501,C,2552487,NA,1,DPI,DEN,29,2543505,Bradley Roby,CB,Amari Cooper,89,OAK,WR
2018091611,3501,C,2552487,NA,2,OPI,OAK,89,NA,NA,NA,Amari Cooper,89,OAK,WR
2018091613,1474,I,2535698,NA,1,DPI,NYG,23,NA,NA,NA,Cole Beasley,11,DAL,WR
2018092303,850,I,2557858,NA,1,DPI,HOU,41,2558094,Zach Cunningham,ILB,Evan Engram,88,NYG,TE
2018092304,2048,I,2557848,NA,1,DPI,JAX,21,2541162,A.J. Bouye,CB,Corey Davis,84,TEN,WR
2018092301,3871,I,497328,NA,1,DPI,BAL,24,4365,Brandon Carr,CB,Demaryius Thomas,88,DEN,WR
2018092300,2341,I,2560854,NA,1,DPI,NO,20,2556735,Ken Crawley,CB,Calvin Ridley,18,ATL,WR
2018092300,3272,I,2533040,NA,1,DPI,NO,26,2552484,P.J. Williams,CB,Mohamed Sanu,12,ATL,WR
2018092305,817,I,2552652,NA,1,DPI,SF,24,2550654,K'Waun Williams,CB,Chris Conley,17,KC,WR
2018092305,912,I,2540230,NA,1,DPI,KC,53,2543592,Anthony Hitchens,MLB,NA,NA,NA,NA
2018092305,2162,I,2540258,NA,1,DOF,SF,99,NA,NA,NA,Travis Kelce,87,KC,TE
2018092305,2162,I,2540258,NA,2,DPI,SF,38,2543680,Antone Exum,FS,Travis Kelce,87,KC,TE
2018092305,4316,I,2543457,NA,1,DPI,SF,23,2558157,Ahkello Witherspoon,CB,Sammy Watkins,14,KC,WR
2018092309,620,I,2543491,NA,1,DPI,GB,23,2560952,Jaire Alexander,CB,Paul Richardson,10,WAS,WR
2018092309,653,I,2555343,NA,1,DPI,GB,38,2506789,Tramon Williams,CB,Josh Doctson,18,WAS,WR
2018092309,798,I,2555343,NA,1,DPI,GB,31,2495170,Davon House,CB,Josh Doctson,18,WAS,WR
2018092309,903,I,2543495,NA,1,DPI,WAS,23,2553796,Quinton Dunbar,CB,Davante Adams,17,GB,WR
2018092309,903,I,2543495,NA,2,FMM,WAS,24,2532920,Josh Norman,CB,Davante Adams,17,GB,WR
2018092308,830,I,2532865,NA,1,DPI,PHI,31,2555383,Jalen Mills,CB,T.Y. Hilton,13,IND,WR
2018092308,3783,I,2532865,NA,1,DPI,PHI,31,2555383,Jalen Mills,CB,T.Y. Hilton,13,IND,WR
2018092306,3321,I,1032,NA,1,DPI,MIA,24,2559053,Torry McTyer,CB,Jordy Nelson,82,OAK,WR
2018092400,2237,I,2508061,NA,1,DPI,TB,33,2561039,Carlton Davis,CB,Antonio Brown,84,PIT,WR
2018093001,2663,I,2550617,NA,1,DPI,TB,29,2555552,Ryan Smith,CB,Taylor Gabriel,18,CHI,WR
2018093001,3284,I,2558105,NA,1,DPI,CHI,22,2560901,Kevin Toliver,DB,Chris Godwin,12,TB,WR
2018093000,1725,C,2495450,NA,1,DPI,ATL,23,2539653,Robert Alford,CB,A.J. Green,18,CIN,WR
2018093007,2120,I,2560995,NA,1,DPI,TEN,31,2555158,Kevin Byard,FS,Dallas Goedert,88,PHI,TE
2018093007,2559,I,2557848,NA,1,DPI,PHI,31,2555383,Jalen Mills,CB,Corey Davis,84,TEN,WR
2018093007,4277,I,2540279,NA,1,DPI,PHI,22,2557958,Sidney Jones,CB,Nick Williams,14,TEN,WR
2018093006,1184,I,2555230,NA,1,DPI,NE,24,2533062,Stephon Gilmore,CB,Kenyan Drake,32,MIA,RB
2018093006,2995,I,2530515,NA,1,DPI,MIA,29,NA,NA,NA,Chris Hogan,15,NE,WR
2018093008,1727,I,2560781,NA,1,DPI,SEA,28,2553637,Justin Coleman,CB,Christian Kirk,13,ARI,WR
2018093008,2949,I,2555289,NA,1,DPI,ARI,20,2543769,Deone Bucannon,ILB,Nick Vannett,81,SEA,TE
2018093009,2394,I,2543488,NA,1,DPI,OAK,22,2541200,Rashaan Melvin,CB,Jarvis Landry,80,CLE,WR
2018093011,3714,I,2553568,NA,1,DPI,NYG,38,2556512,Donte' Deayon,CB,Cameron Meredith,81,NO,WR
2018100100,2807,I,2560888,NA,1,DPI,KC,22,2307,Orlando Scandrick,CB,Courtland Sutton,14,DEN,WR
2018100707,809,I,2552633,NA,1,DPI,ATL,42,2557967,Duke Riley,OLB,Jesse James,81,PIT,TE
2018100704,512,I,2560883,NA,1,DPI,DET,31,2557955,Teez Tabor,CB,Equanimeous St. Brown,19,GB,WR
2018100704,1490,C,2532884,NA,1,DPI,GB,20,2557996,Kevin King,CB,Marvin Jones,11,DET,WR
2018100704,1490,C,2532884,NA,2,ILH,DET,60,NA,NA,NA,Marvin Jones,11,DET,WR
2018100708,2759,I,71265,NA,1,DPI,LAC,33,NA,NA,NA,Jared Cook,87,OAK,TE
2018100711,3324,I,2540169,NA,1,DPI,SEA,26,2558259,Shaquill Griffin,CB,Robert Woods,17,LA,WR
2018100710,180,I,2558202,NA,1,DPI,ARI,36,2558009,Budda Baker,FS,Trent Taylor,81,SF,WR
2018100712,3291,I,2540165,NA,1,DPI,DAL,31,2552568,Byron Jones,CB,DeAndre Hopkins,10,HOU,WR
2018101100,2254,I,2533039,NA,1,DPI,NYG,20,2532875,Janoris Jenkins,CB,Alshon Jeffery,17,PHI,WR
2018101403,3505,I,2555346,NA,1,DPI,BUF,28,2543851,Phillip Gaines,CB,Will Fuller,15,HOU,WR
2018101403,3505,I,2555346,NA,2,DH,BUF,27,2557867,Tre'Davious White,CB,Will Fuller,15,HOU,WR
2018101401,3617,I,2556519,NA,1,DPI,PIT,25,2555344,Artie Burns,CB,Alex Erickson,12,CIN,WR
2018101404,851,I,2543509,NA,1,DPI,MIA,47,2539935,Kiko Alonso,OLB,Allen Robinson,12,CHI,WR
2018101404,1848,I,2543509,NA,1,DPI,MIA,29,2560725,Minkah Fitzpatrick,S,Allen Robinson,12,CHI,WR
2018101404,3204,I,2543509,NA,1,DPI,MIA,29,2560725,Minkah Fitzpatrick,S,Allen Robinson,12,CHI,WR
2018101406,3078,I,2556396,NA,1,DPI,NYJ,43,2560822,Parry Nickerson,CB,Chester Rogers,80,IND,WR
2018101406,3078,I,2556396,NA,2,DOF,NYJ,99,NA,NA,NA,Chester Rogers,80,IND,WR
2018101405,3433,I,2506106,NA,1,DPI,MIN,20,2555177,Mackensie Alexander,CB,Larry Fitzgerald,11,ARI,WR
2018101405,3726,I,2552656,NA,1,DPI,MIN,26,2552448,Trae Waynes,CB,J.J. Nelson,14,ARI,WR
2018101409,1233,I,497328,NA,1,DPI,LA,22,2552488,Marcus Peters,CB,Demaryius Thomas,88,DEN,WR
2018101409,2673,I,2540169,NA,1,DPI,DEN,22,2507917,Tramaine Brock,CB,Robert Woods,17,LA,WR
2018101409,4153,I,2560888,NA,1,DPI,LA,37,1037374,Sam Shields,CB,Courtland Sutton,14,DEN,WR
2018101412,1522,I,2537931,NA,1,DPI,KC,20,2552265,Steven Nelson,CB,Josh Gordon,10,NE,WR
2018101800,2236,I,2560888,NA,1,DPI,ARI,23,2543855,Bene' Benwikere,CB,Courtland Sutton,14,DEN,WR
2018102103,1121,I,2532865,NA,1,DPI,BUF,27,2557867,Tre'Davious White,CB,T.Y. Hilton,13,IND,WR
2018102107,1144,I,2541785,NA,1,DPI,NYJ,21,2533059,Morris Claiborne,CB,Adam Thielen,19,MIN,WR
2018102108,3684,I,2533039,NA,1,DPI,CAR,24,2555175,James Bradberry,CB,Alshon Jeffery,17,PHI,WR
2018102102,2992,I,2550617,NA,1,DPI,NE,27,2560754,J.C. Jackson,DB,Taylor Gabriel,18,CHI,WR
2018102105,2798,I,2552559,NA,1,DPI,KC,24,NA,NA,NA,C.J. Uzomah,87,CIN,TE
2018102106,2252,I,2532884,NA,1,DPI,MIA,28,2552434,Bobby McCain,CB,Marvin Jones,11,DET,WR
2018102106,2848,I,2556190,NA,1,DPI,DET,28,NA,NA,NA,Jakeem Grant,19,MIA,WR
2018102106,3159,I,2558052,NA,1,DPI,MIA,25,2555539,Xavien Howard,CB,Kenny Golladay,19,DET,WR
2018102109,3274,I,2560988,NA,1,DPI,TB,33,2561039,Carlton Davis,CB,Antonio Callaway,11,CLE,WR
2018102101,875,I,2556370,NA,1,DPI,BAL,22,2508107,Jimmy Smith,CB,Michael Thomas,13,NO,WR
2018102101,1695,I,2556370,NA,1,DPI,BAL,22,2508107,Jimmy Smith,CB,Michael Thomas,13,NO,WR
2018102101,3411,I,71269,NA,1,DPI,NO,23,2558061,Marshon Lattimore,CB,Michael Crabtree,15,BAL,WR
2018102101,3572,I,2550256,NA,1,DPI,NO,26,2552484,P.J. Williams,CB,Willie Snead,83,BAL,WR
2018102200,1801,I,2495454,NA,1,DPI,NYG,31,2535687,Michael Thomas,SS,Julio Jones,11,ATL,WR
2018102500,3552,I,2555346,NA,1,DPI,MIA,28,2552434,Bobby McCain,CB,Will Fuller,15,HOU,WR
2018102500,3552,I,2555346,NA,2,ICT,MIA,25,2555539,Xavien Howard,CB,Will Fuller,15,HOU,WR
2018102500,3552,I,2555346,NA,3,DH,MIA,28,2552434,Bobby McCain,CB,Will Fuller,15,HOU,WR
2018102805,586,I,2543457,NA,1,DPI,DEN,29,2543505,Bradley Roby,CB,Sammy Watkins,14,KC,WR
2018102807,2784,I,2557986,NA,1,DPI,PIT,34,NA,NA,NA,David Njoku,85,CLE,TE
2018102806,1317,I,2543491,NA,1,DPI,NYG,23,2539338,B.W. Webb,CB,Paul Richardson,10,WAS,WR
2018102806,3414,I,2560968,NA,1,DPI,WAS,35,2558133,Montae Nicholson,FS,Saquon Barkley,26,NYG,RB
2018102806,3511,I,2555295,NA,1,DPI,WAS,31,2558136,Fabian Moreau,CB,Sterling Shepard,87,NYG,WR
