gameId,gameDate,gameTimeEastern,homeTeamAbbr,visitorTeamAbbr,week
2018090600,09/06/2018,20:20:00,PHI,ATL,1
2018090901,09/09/2018,13:00:00,CLE,PIT,1
2018090902,09/09/2018,13:00:00,IND,CIN,1
2018090903,09/09/2018,13:00:00,MIA,TEN,1
2018090900,09/09/2018,13:00:00,BAL,BUF,1
2018090905,09/09/2018,13:00:00,NE,HOU,1
2018090907,09/09/2018,13:00:00,NYG,JAX,1
2018090906,09/09/2018,13:00:00,NO,TB,1
2018090909,09/09/2018,16:25:00,ARI,WAS,1
2018090910,09/09/2018,16:25:00,CAR,DAL,1
2018090912,09/09/2018,20:20:00,GB,CHI,1
2018091000,09/10/2018,19:10:00,DET,NYJ,1
2018091001,09/10/2018,22:20:00,OAK,LA,1
2018091300,09/13/2018,20:20:00,CIN,BAL,2
2018091602,09/16/2018,13:00:00,GB,MIN,2
2018091603,09/16/2018,13:00:00,NO,CLE,2
2018091604,09/16/2018,13:00:00,NYJ,MIA,2
2018091601,09/16/2018,13:00:00,BUF,LAC,2
2018091600,09/16/2018,13:00:00,ATL,CAR,2
2018091605,09/16/2018,13:00:00,PIT,KC,2
2018091608,09/16/2018,13:00:00,WAS,IND,2
2018091607,09/16/2018,13:00:00,TEN,HOU,2
2018091606,09/16/2018,13:00:00,TB,PHI,2
2018091610,09/16/2018,16:05:00,SF,DET,2
2018091609,09/16/2018,16:05:00,LA,ARI,2
2018091611,09/16/2018,16:25:00,DEN,OAK,2
2018091612,09/16/2018,16:25:00,JAX,NE,2
2018091613,09/16/2018,20:20:00,DAL,NYG,2
2018091700,09/17/2018,20:15:00,CHI,SEA,2
2018092000,09/20/2018,20:20:00,CLE,NYJ,3
2018092302,09/23/2018,13:00:00,CAR,CIN,3
2018092303,09/23/2018,13:00:00,HOU,NYG,3
2018092304,09/23/2018,13:00:00,JAX,TEN,3
2018092301,09/23/2018,13:00:00,BAL,DEN,3
2018092300,09/23/2018,13:00:00,ATL,NO,3
2018092305,09/23/2018,13:00:00,KC,SF,3
2018092309,09/23/2018,13:00:00,WAS,GB,3
2018092308,09/23/2018,13:00:00,PHI,IND,3
2018092306,09/23/2018,13:00:00,MIA,OAK,3
2018092307,09/23/2018,13:00:00,MIN,BUF,3
2018092310,09/23/2018,16:05:00,LA,LAC,3
2018092311,09/23/2018,16:25:00,ARI,CHI,3
2018092312,09/23/2018,16:25:00,SEA,DAL,3
2018092313,09/23/2018,20:20:00,DET,NE,3
2018092400,09/24/2018,20:15:00,TB,PIT,3
2018092700,09/27/2018,20:20:00,LA,MIN,4
2018093002,09/30/2018,13:00:00,DAL,DET,4
2018093003,09/30/2018,13:00:00,GB,BUF,4
2018093004,09/30/2018,13:00:00,IND,HOU,4
2018093001,09/30/2018,13:00:00,CHI,TB,4
2018093000,09/30/2018,13:00:00,ATL,CIN,4
2018093005,09/30/2018,13:00:00,JAX,NYJ,4
2018093007,09/30/2018,13:00:00,TEN,PHI,4
2018093006,09/30/2018,13:00:00,NE,MIA,4
2018093008,09/30/2018,16:05:00,ARI,SEA,4
2018093009,09/30/2018,16:05:00,OAK,CLE,4
2018093011,09/30/2018,16:25:00,NYG,NO,4
2018093010,09/30/2018,16:25:00,LAC,SF,4
2018093012,09/30/2018,20:20:00,PIT,BAL,4
2018100100,10/01/2018,20:15:00,DEN,KC,4
2018100400,10/04/2018,20:20:00,NE,IND,5
2018100701,10/07/2018,13:00:00,CAR,NYG,5
2018100700,10/07/2018,13:00:00,BUF,TEN,5
2018100707,10/07/2018,13:00:00,PIT,ATL,5
2018100706,10/07/2018,13:00:00,NYJ,DEN,5
2018100705,10/07/2018,13:00:00,KC,JAX,5
2018100704,10/07/2018,13:00:00,DET,GB,5
2018100703,10/07/2018,13:00:00,CLE,BAL,5
2018100702,10/07/2018,13:00:00,CIN,MIA,5
2018100708,10/07/2018,16:05:00,LAC,OAK,5
2018100711,10/07/2018,16:25:00,SEA,LA,5
2018100710,10/07/2018,16:25:00,SF,ARI,5
2018100709,10/07/2018,16:25:00,PHI,MIN,5
2018100712,10/07/2018,20:20:00,HOU,DAL,5
2018100800,10/08/2018,20:15:00,NO,WAS,5
2018101100,10/11/2018,20:20:00,NYG,PHI,6
2018101403,10/14/2018,13:00:00,HOU,BUF,6
2018101402,10/14/2018,13:00:00,CLE,LAC,6
2018101401,10/14/2018,13:00:00,CIN,PIT,6
2018101400,10/14/2018,13:00:00,ATL,TB,6
2018101404,10/14/2018,13:00:00,MIA,CHI,6
2018101408,10/14/2018,13:00:00,WAS,CAR,6
2018101407,10/14/2018,13:00:00,OAK,SEA,6
2018101406,10/14/2018,13:00:00,NYJ,IND,6
2018101405,10/14/2018,13:00:00,MIN,ARI,6
2018101409,10/14/2018,16:05:00,DEN,LA,6
2018101410,10/14/2018,16:25:00,DAL,JAX,6
2018101411,10/14/2018,16:25:00,TEN,BAL,6
2018101412,10/14/2018,20:20:00,NE,KC,6
2018101500,10/15/2018,20:15:00,GB,SF,6
2018101800,10/18/2018,20:20:00,ARI,DEN,7
2018102100,10/21/2018,09:30:00,LAC,TEN,7
2018102103,10/21/2018,13:00:00,IND,BUF,7
2018102107,10/21/2018,13:00:00,NYJ,MIN,7
2018102108,10/21/2018,13:00:00,PHI,CAR,7
2018102102,10/21/2018,13:00:00,CHI,NE,7
2018102104,10/21/2018,13:00:00,JAX,HOU,7
2018102105,10/21/2018,20:20:00,KC,CIN,7
2018102106,10/21/2018,13:00:00,MIA,DET,7
2018102109,10/21/2018,13:00:00,TB,CLE,7
2018102101,10/21/2018,16:05:00,BAL,NO,7
2018102110,10/21/2018,16:25:00,WAS,DAL,7
2018102111,10/21/2018,16:25:00,SF,LA,7
2018102200,10/22/2018,20:15:00,ATL,NYG,7
2018102500,10/25/2018,20:20:00,HOU,MIA,8
2018102800,10/28/2018,09:30:00,JAX,PHI,8
2018102805,10/28/2018,13:00:00,KC,DEN,8
2018102807,10/28/2018,13:00:00,PIT,CLE,8
2018102806,10/28/2018,13:00:00,NYG,WAS,8
2018102804,10/28/2018,13:00:00,DET,SEA,8
2018102803,10/28/2018,13:00:00,CIN,TB,8
2018102802,10/28/2018,13:00:00,CHI,NYJ,8
2018102801,10/28/2018,13:00:00,CAR,BAL,8
2018102808,10/28/2018,16:05:00,OAK,IND,8
2018102809,10/28/2018,16:25:00,ARI,SF,8
2018102810,10/28/2018,16:25:00,LA,GB,8
2018102811,10/28/2018,20:20:00,MIN,NO,8
2018102900,10/29/2018,20:15:00,BUF,NE,8
2018110100,11/01/2018,20:20:00,SF,OAK,9
2018110401,11/04/2018,13:00:00,BUF,CHI,9
2018110402,11/04/2018,13:00:00,CAR,TB,9
2018110403,11/04/2018,13:00:00,CLE,KC,9
2018110404,11/04/2018,13:00:00,MIA,NYJ,9
2018110400,11/04/2018,13:00:00,BAL,PIT,9
2018110405,11/04/2018,13:00:00,MIN,DET,9
2018110406,11/04/2018,13:00:00,WAS,ATL,9
2018110407,11/04/2018,16:05:00,DEN,HOU,9
2018110408,11/04/2018,16:05:00,SEA,LAC,9
2018110409,11/04/2018,16:25:00,NO,LA,9
2018110410,11/04/2018,20:20:00,NE,GB,9
2018110500,11/05/2018,20:15:00,DAL,TEN,9
2018110800,11/08/2018,20:20:00,PIT,CAR,10
2018111100,11/11/2018,13:00:00,CHI,DET,10
2018111101,11/11/2018,13:00:00,CIN,NO,10
2018111102,11/11/2018,13:00:00,CLE,ATL,10
2018111103,11/11/2018,16:25:00,GB,MIA,10
2018111104,11/11/2018,13:00:00,IND,JAX,10
2018111105,11/11/2018,13:00:00,KC,ARI,10
2018111106,11/11/2018,13:00:00,NYJ,BUF,10
2018111108,11/11/2018,13:00:00,TEN,NE,10
2018111107,11/11/2018,13:00:00,TB,WAS,10
2018111109,11/11/2018,16:05:00,OAK,LAC,10
2018111110,11/11/2018,16:25:00,LA,SEA,10
2018111111,11/11/2018,20:20:00,PHI,DAL,10
2018111200,11/12/2018,20:15:00,SF,NYG,10
2018111500,11/15/2018,20:20:00,SEA,GB,11
2018111800,11/18/2018,13:00:00,ATL,DAL,11
2018111801,11/18/2018,13:00:00,BAL,CIN,11
2018111802,11/18/2018,20:20:00,CHI,MIN,11
2018111803,11/18/2018,13:00:00,DET,CAR,11
2018111804,11/18/2018,13:00:00,IND,TEN,11
2018111805,11/18/2018,13:00:00,NYG,TB,11
2018111806,11/18/2018,13:00:00,WAS,HOU,11
2018111809,11/18/2018,16:25:00,NO,PHI,11
2018111808,11/18/2018,16:05:00,LAC,DEN,11
2018111807,11/18/2018,16:05:00,ARI,OAK,11
2018111810,11/18/2018,13:00:00,JAX,PIT,11
2018111900,11/19/2018,20:15:00,LA,KC,11
2018112200,11/22/2018,12:30:00,DET,CHI,12
2018112201,11/22/2018,16:30:00,DAL,WAS,12
2018112202,11/22/2018,20:20:00,NO,ATL,12
2018112501,11/25/2018,13:00:00,BUF,JAX,12
2018112502,11/25/2018,13:00:00,CAR,SEA,12
2018112503,11/25/2018,13:00:00,CIN,CLE,12
2018112504,11/25/2018,16:25:00,IND,MIA,12
2018112500,11/25/2018,13:00:00,BAL,OAK,12
2018112505,11/25/2018,13:00:00,NYJ,NE,12
2018112507,11/25/2018,13:00:00,TB,SF,12
2018112506,11/25/2018,13:00:00,PHI,NYG,12
2018112508,11/25/2018,16:05:00,LAC,ARI,12
2018112509,11/25/2018,16:25:00,DEN,PIT,12
2018112510,11/25/2018,20:20:00,MIN,GB,12
2018112600,11/26/2018,20:15:00,HOU,TEN,12
2018112900,11/29/2018,20:20:00,DAL,NO,13
2018120200,12/02/2018,13:00:00,ATL,BAL,13
2018120201,12/02/2018,13:00:00,CIN,DEN,13
2018120209,12/02/2018,13:00:00,TB,CAR,13
2018120208,12/02/2018,20:20:00,PIT,LAC,13
2018120207,12/02/2018,13:00:00,NYG,CHI,13
2018120206,12/02/2018,13:00:00,MIA,BUF,13
2018120202,12/02/2018,13:00:00,DET,LA,13
2018120203,12/02/2018,13:00:00,GB,ARI,13
2018120204,12/02/2018,13:00:00,HOU,CLE,13
2018120205,12/02/2018,13:00:00,JAX,IND,13
2018120211,12/02/2018,16:05:00,TEN,NYJ,13
2018120210,12/02/2018,16:05:00,OAK,KC,13
2018120212,12/02/2018,16:25:00,NE,MIN,13
2018120213,12/02/2018,16:25:00,SEA,SF,13
2018120300,12/03/2018,20:15:00,PHI,WAS,13
2018120600,12/06/2018,20:20:00,TEN,JAX,14
2018120900,12/09/2018,13:00:00,BUF,NYJ,14
2018120901,12/09/2018,20:20:00,CHI,LA,14
2018120908,12/09/2018,13:00:00,WAS,NYG,14
2018120907,12/09/2018,13:00:00,TB,NO,14
2018120906,12/09/2018,13:00:00,MIA,NE,14
2018120905,12/09/2018,13:00:00,KC,BAL,14
2018120904,12/09/2018,13:00:00,HOU,IND,14
2018120902,12/09/2018,13:00:00,CLE,CAR,14
2018120903,12/09/2018,13:00:00,GB,ATL,14
2018120910,12/09/2018,16:05:00,SF,DEN,14
2018120909,12/09/2018,16:05:00,LAC,CIN,14
2018120911,12/09/2018,16:25:00,ARI,DET,14
2018120912,12/09/2018,16:25:00,DAL,PHI,14
2018120913,12/09/2018,16:25:00,OAK,PIT,14
2018121000,12/10/2018,20:15:00,SEA,MIN,14
2018121300,12/13/2018,20:20:00,KC,LAC,15
2018121500,12/15/2018,16:30:00,NYJ,HOU,15
2018121501,12/15/2018,20:20:00,DEN,CLE,15
2018121602,12/16/2018,13:00:00,BUF,DET,15
2018121603,12/16/2018,13:00:00,CHI,GB,15
2018121604,12/16/2018,13:00:00,CIN,OAK,15
2018121601,12/16/2018,13:00:00,BAL,TB,15
2018121600,12/16/2018,13:00:00,ATL,ARI,15
2018121605,12/16/2018,13:00:00,IND,DAL,15
2018121608,12/16/2018,13:00:00,NYG,TEN,15
2018121607,12/16/2018,13:00:00,MIN,MIA,15
2018121606,12/16/2018,13:00:00,JAX,WAS,15
2018121609,12/16/2018,16:05:00,SF,SEA,15
2018121610,12/16/2018,16:25:00,PIT,NE,15
2018121611,12/16/2018,20:20:00,LA,PHI,15
2018121700,12/17/2018,20:15:00,CAR,NO,15
2018122300,12/23/2018,13:00:00,IND,NYG,16
2018122310,12/23/2018,13:00:00,PHI,HOU,16
2018122309,12/23/2018,13:00:00,NYJ,GB,16
2018122308,12/23/2018,13:00:00,NE,BUF,16
2018122307,12/23/2018,13:00:00,DET,MIN,16
2018122306,12/23/2018,13:00:00,DAL,TB,16
2018122302,12/23/2018,13:00:00,MIA,JAX,16
2018122304,12/23/2018,13:00:00,CAR,ATL,16
2018122305,12/23/2018,13:00:00,CLE,CIN,16
2018122312,12/23/2018,16:05:00,SF,CHI,16
2018122311,12/23/2018,16:05:00,ARI,LA,16
2018122313,12/23/2018,16:25:00,NO,PIT,16
2018122314,12/23/2018,20:20:00,SEA,KC,16
2018122400,12/24/2018,20:15:00,OAK,DEN,16
2018123001,12/30/2018,13:00:00,BUF,MIA,17
2018123002,12/30/2018,13:00:00,GB,DET,17
2018123003,12/30/2018,13:00:00,HOU,JAX,17
2018123004,12/30/2018,16:25:00,KC,OAK,17
2018123005,12/30/2018,16:25:00,MIN,CHI,17
2018123006,12/30/2018,13:00:00,NE,NYJ,17
2018123007,12/30/2018,13:00:00,NO,CAR,17
2018123008,12/30/2018,13:00:00,NYG,DAL,17
2018123009,12/30/2018,16:25:00,PIT,CIN,17
2018123010,12/30/2018,13:00:00,TB,ATL,17
2018123011,12/30/2018,20:20:00,TEN,IND,17
2018123012,12/30/2018,16:25:00,WAS,PHI,17
2018123000,12/30/2018,16:25:00,BAL,CLE,17
2018123013,12/30/2018,16:25:00,DEN,LAC,17
2018123015,12/30/2018,16:25:00,SEA,ARI,17
2018123014,12/30/2018,16:25:00,LA,SF,17
2018122200,12/22/2018,16:30:00,TEN,WAS,16
2018122201,12/22/2018,20:20:00,LAC,BAL,16
